FID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ORIG_FID,lat,lon
0,47110079,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250009.00,0009.00,47110606,39495,52.1192017,-106.6600037
1,47110080,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39496,52.1170998,-106.6539993
2,47110081,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250014.00,0014.00,47110604,39497,52.1207008,-106.6510010
3,47110082,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39498,52.1185989,-106.6500015
4,47110083,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39499,52.1178017,-106.6449966
5,47110084,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39500,52.1150017,-106.6510010
6,47110182,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250004.00,0004.00,47110606,39511,52.1096992,-106.6630020
7,47110183,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39512,52.1096001,-106.6539993
8,47110184,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250010.00,0010.00,47110604,39513,52.1129990,-106.6549988
9,47110185,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250009.00,0009.00,47110606,39514,52.1133995,-106.6600037
10,47110186,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250009.00,0009.00,47110606,39515,52.1132011,-106.6650009
11,47110187,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250004.00,0004.00,47110606,39516,52.1088982,-106.6699982
