index,da_id,lat,lng,pop
1,47110144,52.090302,-106.580002,776
1,47110145,52.092400,-106.589996,499
1,47110146,52.094601,-106.588997,384
1,47110147,52.090000,-106.598000,712
1,47110148,52.093399,-106.597000,606
1,47110149,52.092300,-106.599998,422
1,47110151,52.092602,-106.615997,495
1,47110152,52.095001,-106.610001,387
1,47110153,52.095901,-106.616997,577
1,47110154,52.098801,-106.610001,325
1,47110155,52.101898,-106.609001,307
1,47110157,52.102902,-106.613998,743
1,47110160,52.105301,-106.626999,681
1,47110161,52.099701,-106.626000,578
1,47110162,52.098301,-106.620003,305
1,47110163,52.097900,-106.633003,571
1,47110164,52.094898,-106.627998,473
1,47110165,52.094101,-106.637001,423
1,47110166,52.098900,-106.637001,266
1,47110167,52.097302,-106.640999,377
1,47110168,52.101399,-106.639000,406
1,47110169,52.099098,-106.644997,570
1,47110170,52.105202,-106.642998,422
1,47110179,52.101700,-106.662003,596
1,47110180,52.105301,-106.665001,509
1,47110181,52.106300,-106.660004,502
1,47110182,52.109699,-106.663002,603
1,47110183,52.109600,-106.653999,484
1,47110184,52.112999,-106.654999,467
1,47110185,52.113399,-106.660004,696
1,47110186,52.113201,-106.665001,435
1,47110187,52.108898,-106.669998,585
1,47110188,52.104099,-106.669998,640
1,47110189,52.104401,-106.675003,604
1,47110190,52.104900,-106.681999,634
1,47110191,52.102001,-106.680000,665
1,47110193,52.093300,-106.642998,283
1,47110194,52.085499,-106.633003,6747
1,47110287,52.117699,-106.568001,295
1,47110288,52.117802,-106.573998,471
1,47110290,52.137402,-106.569000,506
1,47110291,52.137600,-106.573998,500
1,47110292,52.137402,-106.578003,472
1,47110293,52.139999,-106.582001,705
1,47110295,52.136601,-106.584999,594
1,47110296,52.132500,-106.591003,693
1,47110297,52.142101,-106.595001,423
1,47110299,52.144901,-106.586998,330
1,47110300,52.145699,-106.593002,482
1,47110301,52.148300,-106.591003,406
1,47110302,52.148800,-106.592003,397
1,47110303,52.145401,-106.597000,486
1,47110304,52.146099,-106.599998,358
1,47110305,52.148701,-106.605003,457
1,47110306,52.144600,-106.623001,1152
1,47110307,52.140400,-106.608002,545
1,47110308,52.141899,-106.602997,589
1,47110309,52.137798,-106.601997,606
1,47110310,52.132702,-106.601997,778
1,47110311,52.132999,-106.611999,650
1,47110313,52.156799,-106.592003,847
1,47110314,52.162800,-106.619003,783
1,47110315,52.171700,-106.611000,1035
1,47110316,52.169601,-106.613998,265
1,47110317,52.172100,-106.613998,305
1,47110318,52.173401,-106.619003,582
1,47110319,52.174999,-106.612999,228
1,47110323,52.181400,-106.626000,635
1,47110324,52.183300,-106.626999,531
1,47110325,52.183899,-106.611000,580
1,47110326,52.185600,-106.617996,267
1,47110327,52.179199,-106.610001,812
1,47110328,52.144901,-106.574997,960
1,47110329,52.141998,-106.579002,567
1,47110330,52.141800,-106.571999,463
1,47110331,52.140301,-106.564003,526
1,47110338,52.123901,-106.751000,989
1,47110339,52.120399,-106.752998,435
1,47110340,52.122101,-106.754997,695
1,47110341,52.123299,-106.742996,954
1,47110342,52.119801,-106.747002,319
1,47110343,52.124401,-106.741997,276
1,47110344,52.127300,-106.737999,910
1,47110347,52.132401,-106.746002,298
1,47110348,52.134899,-106.750000,651
1,47110349,52.132500,-106.751000,279
1,47110350,52.135799,-106.746002,374
1,47110351,52.137699,-106.745003,329
1,47110353,52.140400,-106.749000,396
1,47110354,52.140499,-106.751999,871
1,47110355,52.142101,-106.744003,719
1,47110356,52.147400,-106.746002,1049
1,47110357,52.142799,-106.736999,560
1,47110358,52.144798,-106.732002,725
1,47110359,52.143002,-106.730003,423
1,47110362,52.138000,-106.732002,330
1,47110363,52.134399,-106.737999,1262
1,47110365,52.132801,-106.722000,449
1,47110367,52.138699,-106.723999,354
1,47110368,52.138199,-106.720001,367
1,47110369,52.141998,-106.718002,709
1,47110370,52.141899,-106.723999,512
1,47110371,52.145001,-106.722000,990
1,47110372,52.145500,-106.714996,514
1,47110373,52.147701,-106.720001,478
1,47110374,52.153900,-106.707001,5226
1,47110375,52.148899,-106.706001,427
1,47110376,52.147098,-106.702004,469
1,47110377,52.145599,-106.709000,525
1,47110378,52.141998,-106.711998,544
1,47110379,52.139198,-106.710999,809
1,47110380,52.141399,-106.699997,525
1,47110381,52.138599,-106.697998,459
1,47110382,52.140301,-106.692001,558
1,47110383,52.140900,-106.688003,534
1,47110384,52.139198,-106.683998,586
1,47110385,52.147400,-106.686997,452
1,47110386,52.145302,-106.691002,605
1,47110387,52.152100,-106.692001,602
1,47110388,52.159500,-106.678001,503
1,47110389,52.149300,-106.680000,520
1,47110390,52.148899,-106.675003,476
1,47110391,52.145901,-106.672996,403
1,47110392,52.151699,-106.671997,339
1,47110394,52.149502,-106.660004,385
1,47110395,52.175999,-106.639000,516
1,47110396,52.170101,-106.639999,465
1,47110397,52.173801,-106.699997,52
1,47110401,52.153702,-106.728996,5020
1,47110402,52.148300,-106.735001,756
1,47110403,52.146801,-106.732002,465
1,47110404,52.142700,-106.677002,511
1,47110405,52.144402,-106.680000,484
1,47110406,52.138500,-106.677002,457
1,47110407,52.139801,-106.672996,467
1,47110408,52.142399,-106.671997,269
1,47110409,52.136200,-106.672996,271
1,47110410,52.134499,-106.671997,248
1,47110411,52.132198,-106.676002,374
1,47110412,52.131802,-106.672996,257
1,47110413,52.133800,-106.679001,495
1,47110434,52.119099,-106.723000,962
1,47110435,52.123001,-106.723000,235
1,47110436,52.122002,-106.728996,538
1,47110439,52.119301,-106.736999,701
1,47110440,52.122700,-106.736999,687
1,47110441,52.125301,-106.728996,374
1,47110442,52.126301,-106.723000,807
1,47110443,52.105099,-106.637001,373
1,47110444,52.103298,-106.633003,630
1,47110445,52.109901,-106.619003,552
1,47110446,52.108898,-106.613998,478
1,47110447,52.107799,-106.609001,483
1,47110448,52.110001,-106.607002,632
1,47110449,52.112701,-106.611000,683
1,47110450,52.109699,-106.601997,785
1,47110451,52.113098,-106.593002,1223
1,47110452,52.115700,-106.592003,727
1,47110453,52.118401,-106.591003,508
1,47110455,52.170700,-106.628998,1441
1,47110456,52.140900,-106.587997,1328
1,47110457,52.131100,-106.738998,1292
1,47110460,52.120201,-106.572998,1080
1,47110461,52.102501,-106.619003,1800
1,47110463,52.118401,-106.731003,879
1,47110466,52.186298,-106.625000,546
1,47110467,52.186798,-106.629997,544
1,47110468,52.125801,-106.596001,935
1,47110469,52.118698,-106.581001,726
