FID,Join_Count,TARGET_FID,JOIN_FID,index,stop_id,utm_x,utm_y,BUFF_DIST,ORIG_FID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
0,1,0,39577,1,3001,390535.813043000000000,5776873.096839999800000,400.000000000000000,0,47110296,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.02,0013.02,47110019
1,1,0,40231,1,3001,390535.813043000000000,5776873.096839999800000,400.000000000000000,0,47110310,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.01,0013.01,47110014
2,1,0,40232,1,3001,390535.813043000000000,5776873.096839999800000,400.000000000000000,0,47110311,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.01,0013.01,47110014
3,1,0,42428,1,3001,390535.813043000000000,5776873.096839999800000,400.000000000000000,0,47110468,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250012.01,0012.01,47110022
4,1,1,39577,2,3002,390215.049719000000000,5776862.818970000400000,400.000000000000000,1,47110296,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.02,0013.02,47110019
5,1,1,40231,2,3002,390215.049719000000000,5776862.818970000400000,400.000000000000000,1,47110310,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.01,0013.01,47110014
6,1,1,40232,2,3002,390215.049719000000000,5776862.818970000400000,400.000000000000000,1,47110311,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.01,0013.01,47110014
7,1,1,42358,2,3002,390215.049719000000000,5776862.818970000400000,400.000000000000000,1,47110108,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250011.03,0011.03,47110024
8,1,1,42428,2,3002,390215.049719000000000,5776862.818970000400000,400.000000000000000,1,47110468,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250012.01,0012.01,47110022
9,1,2,39577,3,3003,390368.952412999990000,5776876.888570000400000,400.000000000000000,2,47110296,47,Saskatchewan,4711,Division No. 11,CDR,4711066,Saskatoon,4711066,Saskatoon,CY,4730,Saskatoon--Biggar,725,1,725,47725,Saskatoon,B,7250013.02,0013.02,47110019
