da_id,point_index,lat,lng
47110079,0,52.122428,-106.660004
47110079,1,52.122189,-106.659721
47110079,2,52.121453,-106.658825
47110079,3,52.120722,-106.657938
47110079,4,52.120662,-106.657862
47110079,5,52.119870,-106.656635
47110079,6,52.118861,-106.656787
47110079,7,52.117827,-106.656793
47110079,8,52.116828,-106.656814
47110079,9,52.115713,-106.656817
47110079,10,52.115750,-106.659509
47110079,11,52.116760,-106.659535
47110079,12,52.117875,-106.659497
47110079,13,52.117789,-106.662277
47110079,14,52.118847,-106.662264
47110079,15,52.119570,-106.662288
47110079,16,52.119962,-106.662431
47110079,17,52.120218,-106.662549
47110079,18,52.120809,-106.662856
47110079,19,52.121417,-106.663222
47110079,20,52.121809,-106.663406
47110079,21,52.121914,-106.661786
47110079,22,52.122428,-106.660004
47110080,0,52.115751,-106.651290
47110080,1,52.114666,-106.651288
47110080,2,52.114675,-106.654014
47110080,3,52.115780,-106.653971
47110080,4,52.115713,-106.656817
47110080,5,52.116828,-106.656814
47110080,6,52.117827,-106.656793
47110080,7,52.118861,-106.656787
47110080,8,52.119870,-106.656635
47110080,9,52.119827,-106.653916
47110080,10,52.118847,-106.653924
47110080,11,52.117822,-106.653930
47110080,12,52.117798,-106.651261
47110080,13,52.116778,-106.651309
47110080,14,52.115751,-106.651290
47110081,0,52.120835,-106.653895
47110081,1,52.120826,-106.652610
47110081,2,52.121816,-106.651749
47110081,3,52.121822,-106.651278
47110081,4,52.121827,-106.648531
47110081,5,52.121820,-106.646467
47110081,6,52.120804,-106.646444
47110081,7,52.119823,-106.646540
47110081,8,52.119831,-106.648541
47110081,9,52.119840,-106.651268
47110081,10,52.119827,-106.653916
47110081,11,52.119870,-106.656635
47110081,12,52.120662,-106.657862
47110081,13,52.121687,-106.655972
47110081,14,52.120912,-106.654804
47110081,15,52.120835,-106.653895
47110082,0,52.118833,-106.646562
47110082,1,52.117827,-106.646481
47110082,2,52.117796,-106.648537
47110082,3,52.116798,-106.648542
47110082,4,52.116778,-106.651309
47110082,5,52.117798,-106.651261
47110082,6,52.117822,-106.653930
47110082,7,52.118847,-106.653924
47110082,8,52.119827,-106.653916
47110082,9,52.119840,-106.651268
47110082,10,52.119831,-106.648541
47110082,11,52.119823,-106.646540
47110082,12,52.118833,-106.646562
47110083,0,52.118822,-106.641522
47110083,1,52.117825,-106.641456
47110083,2,52.116782,-106.641476
47110083,3,52.116764,-106.644032
47110083,4,52.115749,-106.644009
47110083,5,52.115759,-106.646507
47110083,6,52.115742,-106.648500
47110083,7,52.116798,-106.648542
47110083,8,52.117796,-106.648537
47110083,9,52.117827,-106.646481
47110083,10,52.118833,-106.646562
47110083,11,52.119823,-106.646540
47110083,12,52.119831,-106.644028
47110083,13,52.119839,-106.641501
47110083,14,52.118822,-106.641522
47110084,0,52.115742,-106.648500
47110084,1,52.114671,-106.648515
47110084,2,52.113653,-106.648562
47110084,3,52.113651,-106.651293
47110084,4,52.113648,-106.654038
47110084,5,52.114675,-106.654014
47110084,6,52.114666,-106.651288
47110084,7,52.115751,-106.651290
47110084,8,52.116778,-106.651309
47110084,9,52.116798,-106.648542
47110084,10,52.115742,-106.648500
47110182,0,52.110138,-106.656829
47110182,1,52.109212,-106.656839
47110182,2,52.109228,-106.659541
47110182,3,52.108301,-106.659565
47110182,4,52.108279,-106.662248
47110182,5,52.108296,-106.665070
47110182,6,52.108293,-106.667801
47110182,7,52.109228,-106.667806
47110182,8,52.110136,-106.667797
47110182,9,52.111035,-106.667816
47110182,10,52.111038,-106.665070
47110182,11,52.111058,-106.662241
47110182,12,52.111035,-106.659535
47110182,13,52.111028,-106.656833
47110182,14,52.110138,-106.656829
47110183,0,52.111052,-106.651284
47110183,1,52.110135,-106.651280
47110183,2,52.109235,-106.651319
47110183,3,52.108300,-106.651329
47110183,4,52.107356,-106.651323
47110183,5,52.107355,-106.652710
47110183,6,52.107345,-106.654053
47110183,7,52.107326,-106.655381
47110183,8,52.107351,-106.656799
47110183,9,52.108295,-106.656848
47110183,10,52.109212,-106.656839
47110183,11,52.110138,-106.656829
47110183,12,52.110150,-106.654084
47110183,13,52.111013,-106.654087
47110183,14,52.111840,-106.654074
47110183,15,52.112767,-106.654049
47110183,16,52.112769,-106.651304
47110183,17,52.111897,-106.651330
47110183,18,52.111052,-106.651284
47110184,0,52.111013,-106.654087
47110184,1,52.110150,-106.654084
47110184,2,52.110138,-106.656829
47110184,3,52.111028,-106.656833
47110184,4,52.111882,-106.656850
47110184,5,52.112737,-106.656823
47110184,6,52.113645,-106.656857
47110184,7,52.114670,-106.656786
47110184,8,52.115713,-106.656817
47110184,9,52.115780,-106.653971
47110184,10,52.114675,-106.654014
47110184,11,52.113648,-106.654038
47110184,12,52.112767,-106.654049
47110184,13,52.111840,-106.654074
47110184,14,52.111013,-106.654087
47110185,0,52.111882,-106.656850
47110185,1,52.111028,-106.656833
47110185,2,52.111035,-106.659535
47110185,3,52.111058,-106.662241
47110185,4,52.111879,-106.662246
47110185,5,52.112766,-106.662289
47110185,6,52.113654,-106.662281
47110185,7,52.114690,-106.662290
47110185,8,52.115764,-106.662315
47110185,9,52.115750,-106.659509
47110185,10,52.115713,-106.656817
47110185,11,52.114670,-106.656786
47110185,12,52.113645,-106.656857
47110185,13,52.112737,-106.656823
47110185,14,52.111882,-106.656850
47110186,0,52.115764,-106.662315
47110186,1,52.114690,-106.662290
47110186,2,52.113654,-106.662281
47110186,3,52.112766,-106.662289
47110186,4,52.111879,-106.662246
47110186,5,52.111058,-106.662241
47110186,6,52.111038,-106.665070
47110186,7,52.111035,-106.667816
47110186,8,52.111898,-106.667833
47110186,9,52.112734,-106.667850
47110186,10,52.113661,-106.667826
47110186,11,52.114654,-106.667787
47110186,12,52.114684,-106.665063
47110186,13,52.115743,-106.665029
47110186,14,52.115764,-106.662315
47110187,0,52.107358,-106.667810
47110187,1,52.106307,-106.667712
47110187,2,52.106294,-106.670530
47110187,3,52.107392,-106.670498
47110187,4,52.107517,-106.670503
47110187,5,52.107470,-106.671947
47110187,6,52.107481,-106.673296
47110187,7,52.107483,-106.673504
47110187,8,52.107722,-106.673446
47110187,9,52.109228,-106.673546
47110187,10,52.111035,-106.673555
47110187,11,52.111049,-106.671949
47110187,12,52.111024,-106.670488
47110187,13,52.111035,-106.667816
47110187,14,52.110136,-106.667797
47110187,15,52.109228,-106.667806
47110187,16,52.108293,-106.667801
47110187,17,52.107358,-106.667810
47110188,0,52.101073,-106.667794
47110188,1,52.100246,-106.667793
47110188,2,52.100235,-106.669135
47110188,3,52.100332,-106.670585
47110188,4,52.101071,-106.670422
47110188,5,52.101898,-106.670468
47110188,6,52.101945,-106.671559
47110188,7,52.102069,-106.671862
47110188,8,52.103614,-106.671846
