,Bus Rider?,Postal Code
,No,S7L 0J6
,Yes,S7M 5E5
,Yes,S7M 5K6
,Yes,S7H 3V2
,Yes,S7N 0K1
,Yes,S7N 1R2
,Yes,S7L 2R3
,Yes,S7J 2H7
,Yes,S7N 0A3
,Yes,S7M 5J8
,Yes,S7H 3W3
,Yes,S7N 0W5
,Yes,S7N 1R6
,Yes,S7H 1G4
,Yes,S7N 2Y4
,Yes,S7H 3T8
,Yes,
,Yes,S7M 3Y8
,Yes,S7H 3Y7
,Yes,S7K 3X4
,Yes,S7N 1L6
,Yes,S7S 1N4
,Yes,S7J 5J7
,Yes,S7H 1B2
,Yes,S7H 4C4
,Yes,S7H 1B2
,Yes,S7M 5H1
,Yes,S7H 5K7
,Yes,S7L 5R2
,Yes,S7J 1C5
,Yes,S7H 4T1
,Yes,S7N 2S2
,Yes,S7M 1V4
,Yes,S7L 2W8
,Yes,S7V 0J3
,Yes,S7L 5S7
,Yes,S7H 0A8
,Yes,S7L 4Z3
,Yes,S7K 2S1
,Yes,S7N 2E6
,Yes,S7M 2Z6
,Yes,S7M 5E5
,Yes,S7L 3X6
,Yes,S7N 1L6
,Yes,S7H 0M8
,Yes,S7W 0S5
,Yes,S7N 2Z3
,Yes,S7L 2G1
,Yes,S7K 2V7
,Yes,S7M 0L4
,Yes,S7L 3V8
,Yes,S7H 5J7
,Yes,S7N 3G8
,Yes,S7H 5J7
,Yes,S7M 4W5
,Yes,S7S 1J9
,Yes,S7K 5P4
,Yes,S7M 3Y2
,Yes,S7K 4K5
,Yes,S7J 2X3
,Yes,S7J 1T6
,Yes,S7V 1G9
,Yes,S7H 0P7
,Yes,S7N 4X6
,Yes,S7N 4W3
,Yes,S7K 4S9
,Yes,
,Yes,S7N 2Z3
,Yes,S7K 7M3
,Yes,S7L 4R4
,Yes,S7K 7A9
,Yes,S7W 1C1
,Yes,S7N 2E4
,Yes,S7N 2V4
,Yes,S7K 0K8
,Yes,S7K 0J7
,Yes,S7J 4M7
,Yes,S7W 0V8
,Yes,S7M 2Y3
,Yes,S7H 5J7
,Yes,S7K 7V6
,Yes,S7M 2R4
,Yes,S7H 5L5
,Yes,S7W 0B5
,Yes,S7J 1S7
,No,S7L 3K2
,Yes,S7H 3Y7
,Yes,S7J 2X4
,Yes,S7K 6K3
,Yes,S7M 5X5
,Yes,S7K 2X1
,Yes,S7K 2N2
,Yes,S7N 1H3
,Yes,S7J 2P1
,Yes,S7L 0R6
,Yes,S7H 0Y5
,Yes,S7M 3A7
,Yes,S7N 1R2
,Yes,S7J 3K1
,Yes,S7K 6K3
,Yes,S7M 3V6
,Yes,S7N 1R8
,Yes,S7H 0N4
,Yes,S7W 0W1
,Yes,S7T 0R8
,Yes,S7H 0M3
,Yes,S7H 2C1
,Yes,S7K 4T4
,Yes,S7L 7A8
,Yes,S7H 2C2
,,S7M 3Y2
,Yes,S7H 0R6
,Yes,S7N 5E3
,Yes,S7J 2X4
,Yes,S7H 4L4
,Yes,S7N 1N4
,Yes,S7N 1L6
,Yes,S7N 5E8
,Yes,S7L 0L8
,Yes,S7L 2C5
,Yes,S7M 5Y6
,Yes,S7K 1E7
,Yes,S7V 1J8
,Yes,S7W 0W6
,Yes,S7J 5L1
,Yes,S7N 2E5
,No,S7M 1Y1
,Yes,S7T 0N8
,Yes,S7K 1L7
,Yes,S7H 1E6
,Yes,S7K 1H2
,Yes,S7H 2K9
,Yes,S7L 5C6
,Yes,S7H 5B1
,Yes,S7M 4W4
,Yes,S7M 5E3
,Yes,S7J 3R8
,Yes,S7M 1E9
,No,S7W 0C8
,Yes,S7K 1L7
,Yes,S7M 1R3
,Yes,S7W 0G9
,Yes,S7J 0C2
,Yes,S7N 2E5
,Yes,S7H 1B2
,Yes,S7N 1L4
,Yes,S7L 4R9
,Yes,S7K 0K8
,Yes,S7N 0G2
,No,S7K 0L9
,Yes,S7M 0Z7
,Yes,S7H 2R7
,No,S7J 2S9
,Yes,S7V 0E6
,Yes,S7W 0T6
,Yes,S7N 0E5
,Yes,S7H 3C8
,Yes,S7M 1R4
,Yes,S7H 4W7
,Yes,S7R 0B7
,Yes,S7N 2V4
,Yes,S7J 4E2
,Yes,S7N 1N2
,Yes,S7L 0M7
,Yes,S7M 0W5
,Yes,S7M 1P1
,No,S7M 2A8
,Yes,S7M 0M4
,Yes,S7N 4T3
,Yes,S7K 0K8
,No,S7L 0E6
,Yes,S7N 2E5
,Yes,S9A 2E6
,Yes,S7H 4G4
,Yes,S7H 4C1
,Yes,S7L 3A4
,Yes,S7J 0M1
,Yes,S7K 2N8
,Yes,S7W 0Y1
,Yes,S7K 2T4
,Yes,S7H 3P1
,Yes,S7N 0E5
,Yes,S7L 2H9
,Yes,S7H 5S1
,No,S7L 0J6
,Yes,S7N 2E5
,Yes,S7N 2N9
