fid,postal_code,lat,lng
1,S7S 1P1,52.146384,-106.572313
2,S7N 0G6,52.118733,-106.649888
3,S7L 6K6,52.134055,-106.756625
4,S7L 6K6,52.133746,-106.754729
5,S7L 6K6,52.131922,-106.760333
6,S7L 6K6,52.136295,-106.755933
7,S7L 6K6,52.140360,-106.756642
8,S7L 6K6,52.132773,-106.759640
9,S7L 6K6,52.131909,-106.758064
10,S7L 6K6,52.132814,-106.756116
11,S7L 6K6,52.131024,-106.755065
12,S7L 6K6,52.130349,-106.757771
13,S7L 6K6,52.138469,-106.762690
14,S7L 6K6,52.133560,-106.761899
15,S7L 6K6,52.135691,-106.754335
16,S7L 6K6,52.137546,-106.762664
17,S7L 6K6,52.133036,-106.764038
18,S7L 6K6,52.134719,-106.761327
19,S7L 6K6,52.135020,-106.758098
20,S7L 6K6,52.135884,-106.760882
21,S7L 6K6,52.138003,-106.760698
22,S7L 6K6,52.131907,-106.755788
23,S7L 6K6,52.131431,-106.762211
24,S7L 1Y2,52.150866,-106.677503
25,S7L 6K4,52.143982,-106.719763
26,S7L 6K5,52.146932,-106.733083
27,S7L 6K5,52.148136,-106.731643
28,S7L 6K2,52.145895,-106.740500
29,S7L 1Y6,52.153622,-106.677504
30,S7L 1Y5,52.153618,-106.677799
31,S7L 1Y4,52.152415,-106.677776
32,S7L 1Y9,52.131505,-106.679927
33,S7L 1Y8,52.130093,-106.679579
34,S7L 6K8,52.134055,-106.756625
35,S7L 6K8,52.131431,-106.762211
36,S7L 6K8,52.130349,-106.757771
37,S7L 6K8,52.131909,-106.758064
38,S7L 6K8,52.136295,-106.755933
39,S7L 6K8,52.131907,-106.755788
40,S7L 6K8,52.135691,-106.754335
41,S7L 6K8,52.131024,-106.755065
42,S7L 6K8,52.133560,-106.761899
43,S7L 6K8,52.138469,-106.762690
44,S7L 6K8,52.133036,-106.764038
45,S7L 6K8,52.135020,-106.758098
46,S7L 6K8,52.132814,-106.756116
47,S7L 6K8,52.132773,-106.759640
48,S7L 6K8,52.135884,-106.760882
49,S7L 6K8,52.138003,-106.760698
50,S7L 6K8,52.140360,-106.756642
51,S7L 6K8,52.133746,-106.754729
52,S7L 6K8,52.131922,-106.760333
53,S7L 6K8,52.134719,-106.761327
54,S7L 6K8,52.137546,-106.762664
55,S7L 6K9,52.147866,-106.733614
56,S7N 0G7,52.118915,-106.649895
57,S7L 1Y3,52.152416,-106.677480
58,S7L 6K7,52.147114,-106.733084
59,S7L 1Y1,52.150870,-106.677798
60,S7L 1Y7,52.130094,-106.679874
61,S7L 6K3,52.143984,-106.723816
62,S7L 6K1,52.145898,-106.740205
63,S7H 0G4,52.118914,-106.637931
64,S7H 0G5,52.118732,-106.637926
65,S7H 0G6,52.118762,-106.635778
66,S7H 0G7,52.118944,-106.635787
67,S7H 0G1,52.118918,-106.642777
68,S7H 0G2,52.118737,-106.642779
69,S7H 0G3,52.118727,-106.640259
70,S7M 1N3,52.126942,-106.673670
71,S7M 1N2,52.126942,-106.673375
72,S7M 1N1,52.128518,-106.673323
73,S7H 0G8,52.117915,-106.655361
74,S7H 0G9,52.117733,-106.655362
75,S7M 1N5,52.125369,-106.673692
76,S7M 1N4,52.125366,-106.673397
77,S7M 2Z1,52.126978,-106.697533
78,S7M 2Z2,52.125126,-106.697831
79,S7M 2Z3,52.125127,-106.697536
80,S7M 2Z4,52.123022,-106.697817
81,S7M 2Z5,52.123023,-106.697521
82,S7M 2Z6,52.128554,-106.699160
83,S7M 2Z7,52.128556,-106.699455
84,S7M 2Z8,52.126982,-106.699170
85,S7M 2Z9,52.126981,-106.699465
86,S7M 5N9,52.126741,-106.730246
87,S7M 5N8,52.119944,-106.761194
88,S7M 5N8,52.120044,-106.750835
89,S7M 5N8,52.118396,-106.748355
90,S7M 5J9,52.121610,-106.723029
91,S7M 5J8,52.121018,-106.721657
92,S7M 5J3,52.107300,-106.715910
93,S7M 5J3,52.105711,-106.707804
94,S7M 5J3,52.105927,-106.713316
95,S7M 5J1,52.107464,-106.713871
96,S7M 5J7,52.121320,-106.724379
97,S7M 5J6,52.108379,-106.677632
98,S7M 5J6,52.107428,-106.677287
99,S7M 5J5,52.119905,-106.695346
100,S7M 5J4,52.108459,-106.708844
101,S7J 2V7,52.094684,-106.631243
102,S7J 2V7,52.093860,-106.631256
103,S7J 2V6,52.095715,-106.630964
104,S7J 2V6,52.094686,-106.630948
105,S7J 2V5,52.095714,-106.631259
106,S7J 2V4,52.097208,-106.629625
107,S7J 2V4,52.096627,-106.630569
108,S7J 2V3,52.095828,-106.625594
109,S7J 2V3,52.095838,-106.623544
