index,postal_code,lat,lng,walkscore,da_id
0,S7N 0J3,52.123500,-106.653000,47110104,76
1,S7L 6K6,52.132500,-106.756500,47110581,50
2,S7L 6K6,52.135500,-106.755000,47110581,35
3,S7L 6K6,52.131000,-106.758000,47110581,52
4,S7L 6K6,52.134000,-106.756500,47110581,44
5,S7L 6K6,52.138500,-106.761000,47110581,15
6,S7L 6K6,52.131000,-106.755000,47110581,49
7,S7L 6K6,52.134000,-106.762500,47110581,29
8,S7L 6K6,52.138500,-106.762500,47110581,14
9,S7L 6K6,52.132500,-106.761000,47110581,41
10,S7L 6K6,52.134000,-106.755000,47110581,36
11,S7L 6K6,52.140000,-106.756500,47110581,22
12,S7L 6K6,52.132500,-106.764000,47110581,32
13,S7L 6K6,52.135500,-106.758000,47110581,26
14,S7L 6K6,52.132500,-106.758000,47110581,50
15,S7L 6K6,52.137000,-106.762500,47110581,14
16,S7L 6K6,52.137000,-106.756500,47110581,30
17,S7L 6K6,52.131000,-106.762500,47110581,30
18,S7L 6K6,52.132500,-106.759500,47110581,47
19,S7L 6K6,52.135500,-106.761000,47110581,28
20,S7L 6K6,52.134000,-106.761000,47110581,36
21,S7L 1Y2,52.150500,-106.677000,47110390,69
22,S7L 6K4,52.144500,-106.720500,47110371,43
23,S7L 6K5,52.147500,-106.731000,47110403,46
24,S7L 6K5,52.147500,-106.732500,47110403,35
25,S7L 6K2,52.146000,-106.740000,47110356,23
26,S7L 1Y6,52.153500,-106.677000,47110388,59
27,S7L 1Y5,52.153500,-106.678500,47110388,53
28,S7L 1Y4,52.152000,-106.678500,47110388,59
29,S7L 1Y9,52.131000,-106.680000,47110413,85
30,S7L 1Y8,52.129500,-106.680000,47110413,85
31,S7L 6K8,52.135500,-106.761000,47110581,28
32,S7L 6K8,52.131000,-106.762500,47110581,30
33,S7L 6K8,52.134000,-106.761000,47110581,36
34,S7L 6K8,52.131000,-106.758000,47110581,52
35,S7L 6K8,52.134000,-106.756500,47110581,44
36,S7L 6K8,52.132500,-106.756500,47110581,50
37,S7L 6K8,52.134000,-106.762500,47110581,29
38,S7L 6K8,52.138500,-106.762500,47110581,14
39,S7L 6K8,52.132500,-106.761000,47110581,41
40,S7L 6K8,52.134000,-106.755000,47110581,36
41,S7L 6K8,52.135500,-106.755000,47110581,35
42,S7L 6K8,52.140000,-106.756500,47110581,22
43,S7L 6K8,52.132500,-106.764000,47110581,32
44,S7L 6K8,52.135500,-106.758000,47110581,26
45,S7L 6K8,52.137000,-106.762500,47110581,14
46,S7L 6K8,52.131000,-106.755000,47110581,49
47,S7L 6K8,52.137000,-106.756500,47110581,30
48,S7L 6K8,52.132500,-106.758000,47110581,50
49,S7L 6K8,52.132500,-106.759500,47110581,47
50,S7L 6K8,52.138500,-106.761000,47110581,15
51,S7L 6K9,52.147500,-106.734000,47110403,30
52,S7L 1Y3,52.152000,-106.677000,47110388,64
53,S7L 6K7,52.147500,-106.732500,47110403,35
54,S7L 1Y1,52.150500,-106.678500,47110389,65
55,S7L 1Y7,52.129500,-106.680000,47110413,85
56,S7L 6K3,52.144500,-106.723500,47110371,43
57,S7L 6K1,52.146000,-106.740000,47110356,23
58,S7H 0G4,52.119000,-106.638000,47110099,79
59,S7H 0G5,52.119000,-106.638000,47110099,79
60,S7M 1N9,52.122000,-106.675500,47110070,85
61,S7M 1N8,52.122000,-106.674000,47110068,88
62,S7H 0G1,52.119000,-106.642500,47110083,76
63,S7H 0G2,52.119000,-106.642500,47110083,76
64,S7H 0G3,52.119000,-106.641000,47110099,76
65,S7M 1N3,52.126500,-106.674000,47110067,96
66,S7M 1N2,52.126500,-106.674000,47110067,96
67,S7M 1N1,52.128000,-106.674000,47110067,97
68,S7H 0G8,52.117500,-106.656000,47110080,88
69,S7M 1N6,52.123500,-106.674000,47110068,94
70,S7M 1N5,52.125000,-106.674000,47110068,95
71,S7M 1N4,52.125000,-106.674000,47110068,95
72,S7N 0G3,52.119000,-106.650000,47110082,87
73,S7N 0G3,52.119000,-106.665000,47110077,77
74,S7N 0G3,52.117500,-106.659000,47110079,89
75,S7M 2Z1,52.126500,-106.698000,47110561,76
76,S7M 2Z2,52.125000,-106.698000,47110569,69
77,S7M 2Z3,52.125000,-106.698000,47110569,69
78,S7M 2Z4,52.123500,-106.698000,47110569,58
79,S7M 2Z5,52.123500,-106.698000,47110569,58
80,S7M 2Z6,52.128000,-106.699500,47110561,79
81,S7M 2Z7,52.128000,-106.699500,47110561,79
82,S7M 2Z8,52.126500,-106.699500,47110561,76
83,S7M 2Z9,52.126500,-106.699500,47110561,76
84,S7H 3H7,52.111500,-106.620000,47110094,81
85,S7M 5N9,52.126500,-106.729500,47110441,70
86,S7M 5N8,52.120500,-106.761000,47110338,33
87,S7M 5N8,52.119000,-106.749000,47110342,21
88,S7M 5N8,52.120500,-106.750500,47110338,25
89,S7M 5J9,52.122000,-106.723500,47110435,52
90,S7M 5J8,52.120500,-106.722000,47110434,46
91,S7M 5J3,52.105500,-106.708500,47110548,14
92,S7M 5J3,52.107000,-106.716000,47110540,11
93,S7M 5J3,52.105500,-106.713000,47110540,10
94,S7M 5J1,52.107000,-106.714500,47110548,9
95,S7M 5J7,52.122000,-106.725000,47110436,49
96,S7M 5J6,52.108500,-106.677000,47110189,44
97,S7M 5J6,52.107000,-106.677000,47110189,47
98,S7M 5J5,52.120500,-106.695000,47110548,50
99,S7M 5J4,52.108500,-106.708500,47110548,18
100,S7J 2V7,52.095000,-106.630500,47110164,41
101,S7J 2V7,52.093500,-106.632000,47110164,35
102,S7J 2V6,52.095000,-106.630500,47110164,41
103,S7J 2V5,52.095000,-106.632000,47110164,39
104,S7J 2V4,52.096500,-106.629000,47110164,53
105,S7J 2V4,52.096500,-106.630500,47110164,46
106,S7J 2V3,52.096500,-106.623000,47110161,65
107,S7J 2V3,52.096500,-106.626000,47110161,54
108,S7J 2V2,52.096500,-106.627500,47110164,56
109,S7J 2V2,52.096500,-106.626000,47110161,54
110,S7J 2V1,52.098000,-106.630500,47110163,54
111,S7J 2V9,52.096500,-106.627500,47110164,56
112,S7J 2V9,52.095000,-106.627500,47110164,47
113,S7J 2V8,52.093500,-106.630500,47110164,37
114,S7H 3Z8,52.116000,-106.596000,47110453,82
115,S7H 3Z9,52.116000,-106.596000,47110453,82
116,S7H 3Z4,52.117500,-106.596000,47110110,78
117,S7H 3Z5,52.117500,-106.594500,47110112,79
118,S7H 3Z5,52.117500,-106.590000,47110453,73
119,S7H 3Z5,52.117500,-106.588500,47110453,72
120,S7H 3Z5,52.117500,-106.593000,47110453,74
121,S7H 3Z6,52.117500,-106.594500,47110112,79
122,S7H 3Z7,52.117500,-106.590000,47110453,73
123,S7H 3Z2,52.116000,-106.596000,47110453,82
124,S7H 3Z2,52.116000,-106.597500,47110452,82
125,S7H 3Z3,52.117500,-106.596000,47110110,78
126,S7H 3Z3,52.116000,-106.596000,47110453,82
127,S7N 1M1,52.122000,-106.635000,47110101,71
128,S7N 1M3,52.126500,-106.635000,47110106,72
129,S7N 1M3,52.125000,-106.635000,47110106,73
130,S7N 1M2,52.126500,-106.635000,47110106,72
131,S7N 1M2,52.125000,-106.635000,47110106,73
132,S7N 1M5,52.128000,-106.635000,47110106,70
133,S7N 1M4,52.126500,-106.635000,47110106,72
134,S7N 1M7,52.129500,-106.603500,47110311,47
135,S7N 1M7,52.129500,-106.602000,47110311,48
136,S7N 1M6,52.128000,-106.635000,47110106,70
137,S7N 1M9,52.131000,-106.600500,47110310,60
138,S7N 1M8,52.131000,-106.600500,47110310,60
139,S7N 1M8,52.131000,-106.602000,47110310,56
140,S7N 1M8,52.131000,-106.599000,47110296,62
141,S7K 7W1,52.188000,-106.624500,47110466,17
142,S7K 7W2,52.188000,-106.624500,47110466,17
143,S7K 7W3,52.188000,-106.621500,47110022,20
144,S7J 1J8,52.104000,-106.648500,47110538,64
145,S7K 7W5,52.188000,-106.620000,47110022,17
146,S7K 7W6,52.188000,-106.620000,47110022,17
147,S7K 7W6,52.188000,-106.621500,47110022,20
148,S7K 7W7,52.189500,-106.615500,47110021,10
149,S7K 7W8,52.189500,-106.615500,47110021,10
150,S7K 7W9,52.188000,-106.620000,47110022,17
151,S7K 7W9,52.189500,-106.615500,47110021,10
152,S7J 1J6,52.098000,-106.650000,47110535,53
153,S7J 1J7,52.098000,-106.650000,47110535,53
154,S7J 1J1,52.102500,-106.650000,47110537,59
155,S7J 1J2,52.101000,-106.650000,47110537,56
156,S7J 1J3,52.101000,-106.650000,47110537,56
157,S7L 4R9,52.141500,-106.732500,47110357,46
158,S7L 4R9,52.141500,-106.737000,47110471,32
159,S7L 4R9,52.141500,-106.734000,47110357,37
160,S7L 4R8,52.141500,-106.734000,47110357,37
161,S7L 4R3,52.158000,-106.669500,47110691,61
162,S7L 4R2,52.141500,-106.725000,47110370,57
163,S7L 4R1,52.144500,-106.723500,47110371,43
164,S7L 4R7,52.140000,-106.725000,47110370,65
165,S7L 4R7,52.143000,-106.722000,47110370,58
166,S7L 4R7,52.141500,-106.725000,47110370,57
167,S7L 4R6,52.131000,-106.723500,47110365,84
168,S7L 4R6,52.129500,-106.722000,47110365,84
169,S7L 4R5,52.135500,-106.677000,47110413,68
170,S7L 4R4,52.132500,-106.756500,47110581,50
171,S7L 4R4,52.135500,-106.755000,47110581,35
172,S7L 4R4,52.138500,-106.762500,47110581,14
173,S7L 4R4,52.131000,-106.758000,47110581,52
174,S7L 4R4,52.134000,-106.756500,47110581,44
175,S7L 4R4,52.132500,-106.764000,47110581,32
176,S7L 4R4,52.132500,-106.761000,47110581,41
177,S7L 4R4,52.134000,-106.762500,47110581,29
178,S7L 4R4,52.135500,-106.758000,47110581,26
179,S7L 4R4,52.134000,-106.761000,47110581,36
180,S7L 4R4,52.134000,-106.755000,47110581,36
181,S7L 4R4,52.140000,-106.756500,47110581,22
182,S7L 4R4,52.135500,-106.761000,47110581,28
183,S7L 4R4,52.137000,-106.762500,47110581,14
184,S7L 4R4,52.132500,-106.758000,47110581,50
185,S7L 4R4,52.131000,-106.755000,47110581,49
186,S7L 4R4,52.137000,-106.756500,47110581,30
187,S7L 4R4,52.131000,-106.762500,47110581,30
188,S7L 4R4,52.132500,-106.759500,47110581,47
189,S7L 4R4,52.138500,-106.761000,47110581,15
190,S7H 1L8,52.110000,-106.657500,47110182,77
191,S7H 1L9,52.110000,-106.657500,47110182,77
192,S7H 1L1,52.110000,-106.669500,47110187,54
193,S7H 1L2,52.110000,-106.666500,47110182,59
194,S7H 1L3,52.110000,-106.666500,47110182,59
195,S7H 1L4,52.110000,-106.663500,47110182,63
196,S7H 1L5,52.110000,-106.663500,47110182,63
197,S7H 1L6,52.110000,-106.660500,47110182,66
198,S7H 1L7,52.110000,-106.660500,47110182,66
199,S7T 0G1,52.080000,-106.630500,47110194,37
200,S7T 0G2,52.083000,-106.635000,47110194,56
201,S7T 0G3,52.084500,-106.644000,47110194,55
202,S7T 0G3,52.084500,-106.642500,47110194,54
203,S7T 0G3,52.084500,-106.645500,47110194,54
204,S7T 0G3,52.084500,-106.641000,47110194,57
205,S7T 0G4,52.077000,-106.647000,47110699,29
