trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
949777,10014,a_51404,72930,3_merged_979666,1,0,0,City Centre
951358,10033,a_51488,73011,2_merged_979667,0,0,0,Lawson Heights
949938,10016,a_51408,72937,1_merged_979665,0,0,0,Pleasant Hill
955961,10089,b_51628,73296,1_merged_979668,0,0,0,Centre Mall
949352,10013,a_51311,72916,1_merged_979665,1,0,0,City Centre
956105,10089,b_51630,73304,1_merged_979668,1,0,0,City Centre
953010,10074,a_51541,73192,1_merged_979665,1,0,0,Hampton Village
952954,10074,a_51520,73188,1_merged_979665,0,0,0,Confederation Terminal
959923,10152,b_51640,73582,1_merged_979668,0,0,0,University
951367,10033,a_51487,73013,2_merged_979667,1,0,0,Lawson Heights
952502,10065,a_51537,73153,2_merged_979667,0,0,0,Lakeridge
953638,10079,a_51379,73219,1_merged_979665,1,0,0,Centre Mall
959425,10147,b_51802,73555,3_merged_979669,1,0,0,None
951210,10031,a_51480,73002,1_merged_979665,0,0,0,Sask Tel Centre
950411,10022,a_51435,72968,1_merged_979665,1,0,0,City Centre
949175,10012,a_51375,72911,2_merged_979667,1,0,0,City Centre
957212,10098,b_51689,73344,3_merged_979669,0,0,0,None
957330,10099,b_51697,73349,2_merged_979670,0,0,0,Stonebridge
952152,10051,a_51524,73094,2_merged_979667,1,0,0,City Centre
957562,10102,b_51668,73361,1_merged_979668,0,0,0,City Centre
950475,10022,a_51438,72963,3_merged_979666,0,0,0,North Industrial
957730,10106,b_51729,73377,1_merged_979668,0,0,0,Sask Tel Centre
952901,10072,a_51553,73180,3_merged_979666,1,0,0,None
949466,10014,a_51380,72924,1_merged_979665,0,0,0,Centre Mall
955561,10087,b_51619,73281,1_merged_979668,1,0,0,Broadway
954902,10084,b_51590,73235,3_merged_979669,0,0,0,Hudson Bay Park
950763,10024,a_51444,72977,1_merged_979665,1,0,0,University
957430,10100,b_51703,73354,1_merged_979668,0,0,0,University via Boychuk
955879,10088,b_51564,73290,2_merged_979670,0,0,0,Dundonald
948445,10010,a_51349,72866,1_merged_979665,0,0,0,Mayfair
949154,10012,a_51376,72911,2_merged_979667,1,0,0,City Centre
949431,10014,a_51380,72927,1_merged_979665,0,0,0,Centre Mall
956542,10091,b_51659,73313,2_merged_979670,1,0,0,Not In Service
952572,10065,a_51498,73155,3_merged_979666,1,0,0,University
951826,10047,a_51507,73065,2_merged_979667,0,0,0,Silverwood Heights
959671,10150,b_51759,73575,1_merged_979668,1,0,0,Kensington
955925,10088,b_51569,73290,3_merged_979669,0,0,0,Dundonald
952539,10065,a_51455,73155,2_merged_979667,1,0,0,University
967599,10086,b_51611,73258,1_merged_979668,0,0,0,McCormack
949917,10015,a_51342,72934,3_merged_979666,1,0,0,City Centre
951751,10047,a_51486,73065,1_merged_979665,0,0,0,Silverwood Heights
956145,10089,b_51644,73297,2_merged_979670,0,0,0,Centre Mall
950263,10020,a_51328,72949,2_merged_979667,1,0,0,Airport
949538,10014,a_51380,72930,1_merged_979665,1,0,0,City Centre
955749,10087,b_51626,73275,3_merged_979669,0,0,0,Broadway
949144,10012,a_51375,72911,2_merged_979667,1,0,0,City Centre
950379,10021,a_51428,72959,1_merged_979665,1,0,0,Broadway
956259,10089,b_51652,73293,3_merged_979669,0,0,0,Centre Mall
956951,10097,b_51683,73339,1_merged_979668,1,0,0,City Centre
949698,10014,a_51400,72930,2_merged_979667,1,0,0,City Centre
957211,10098,b_51688,73344,3_merged_979669,0,0,0,None
956601,10095,b_51668,73321,1_merged_979668,0,0,0,River Heights
949632,10014,a_51395,72927,2_merged_979667,0,0,0,Centre Mall
953532,10078,a_51388,73213,1_merged_979665,0,0,0,Centre Mall
948121,10008,a_51321,72859,1_merged_979665,1,0,0,City Centre
951906,10050,a_51513,73077,1_merged_979665,0,0,0,Evergreen
950633,10023,a_51367,72969,2_merged_979667,0,0,0,City Centre
956364,10090,b_51585,73309,1_merged_979668,1,0,0,City Centre
948469,10010,a_51349,72876,1_merged_979665,1,0,0,Willowgrove Square
959757,10150,b_51776,73575,3_merged_979669,1,0,0,Kensington
956733,10095,b_51576,73320,2_merged_979670,0,0,0,City Centre
956781,10095,b_51672,73324,2_merged_979670,1,0,0,City Centre
951911,10050,a_51518,73077,1_merged_979665,0,0,0,Evergreen
959918,10152,b_51628,73582,1_merged_979668,0,0,0,University
949392,10013,a_51317,72916,2_merged_979667,1,0,0,City Centre
950200,10020,a_51328,72945,2_merged_979667,0,0,0,City Centre
948074,10008,a_51324,72858,1_merged_979665,0,0,0,Meadowgreen
949522,10014,a_51379,72927,1_merged_979665,0,0,0,Centre Mall
952284,10052,a_51496,73099,2_merged_979667,0,0,0,Lakeview
954980,10085,b_51595,73251,1_merged_979668,1,0,0,Willowgrove Square
955605,10087,b_51622,73273,2_merged_979670,0,0,0,University
954833,10084,b_51584,73236,1_merged_979668,1,0,0,City Centre
960116,10154,b_51635,73592,1_merged_979668,0,0,0,Briarwood
949304,10013,a_51314,72915,1_merged_979665,0,0,0,Dundonald
957513,10100,b_51705,73356,2_merged_979670,1,0,0,College Park
951012,10025,a_51461,72980,3_merged_979666,0,0,0,University via Boychuk
960187,10154,b_51805,73592,2_merged_979670,0,0,0,Briarwood
950805,10024,a_51447,72973,2_merged_979667,0,0,0,Stonebridge
956714,10095,b_51673,73321,2_merged_979670,0,0,0,River Heights
948218,10008,a_51330,72858,3_merged_979666,0,0,0,Meadowgreen
956488,10091,b_51656,73313,1_merged_979668,1,0,0,Not In Service
955833,10088,b_51561,73290,1_merged_979668,0,0,0,Dundonald
954761,10083,b_51579,73234,3_merged_979669,1,0,0,City Centre
956136,10089,b_51630,73304,1_merged_979668,1,0,0,City Centre
953712,10079,a_51403,73219,3_merged_979666,1,0,0,Centre Mall
948520,10010,a_51355,72874,2_merged_979667,1,0,0,Willowgrove
956827,10095,b_51579,73322,3_merged_979669,0,0,0,City Centre
959520,10149,b_51761,73566,1_merged_979668,1,0,0,Hampton Village
951965,10050,a_51524,73077,2_merged_979667,0,0,0,Evergreen
967437,10011,a_51359,72886,1_merged_979665,0,0,0,Not In Service
952219,10052,a_51495,73099,1_merged_979665,0,0,0,Lakeview
959338,10147,b_51797,73555,1_merged_979668,1,0,0,None
950179,10020,a_51327,72945,2_merged_979667,0,0,0,City Centre
949018,10012,a_51372,72913,1_merged_979665,1,0,0,Broadway
955996,10089,b_51635,73295,1_merged_979668,0,0,0,Centre Mall
956703,10095,b_51671,73321,2_merged_979670,0,0,0,River Heights
953464,10077,a_51400,73208,2_merged_979667,0,0,0,University
953259,10076,a_51380,73202,1_merged_979665,0,0,0,University via Taylor
979486,10098,b_51658,73345,1_merged_979668,0,0,0,City Centre
959992,10152,b_51648,73582,2_merged_979670,0,0,0,University
959087,10140,b_51793,73527,3_merged_979669,0,0,0,Lakeridge
948794,10011,a_51367,72892,2_merged_979667,1,0,0,City Centre
951813,10047,a_51487,73065,2_merged_979667,0,0,0,Silverwood Heights
949717,10014,a_51396,72930,2_merged_979667,1,0,0,City Centre
951898,10050,a_51514,73077,1_merged_979665,0,0,0,Evergreen
950906,10025,a_51451,72980,1_merged_979665,0,0,0,University via Boychuk
950929,10025,a_51451,72982,1_merged_979665,1,0,0,College Park
950467,10022,a_51437,72968,2_merged_979667,1,0,0,City Centre
979535,10098,b_51658,73347,1_merged_979668,1,0,0,Valley Road
948845,10011,a_51332,72889,3_merged_979666,1,0,0,City Centre
958431,10125,b_51767,73455,1_merged_979668,0,0,0,Evergreen
955295,10086,b_51614,73269,2_merged_979670,1,0,0,City Centre
952193,10051,a_51534,73094,3_merged_979666,1,0,0,City Centre
950843,10024,a_51448,72977,2_merged_979667,1,0,0,University
979570,10098,b_51611,73346,1_merged_979668,1,0,0,Valley Road
959656,10150,b_51760,73575,1_merged_979668,1,0,0,Kensington
957932,10108,b_51739,73390,3_merged_979669,1,0,0,Lawson Heights
952090,10051,a_51514,73094,1_merged_979665,1,0,0,City Centre
949467,10014,a_51381,72925,1_merged_979665,0,0,0,Centre Mall
949933,10016,a_51409,72937,1_merged_979665,0,0,0,Pleasant Hill
950128,10020,a_51419,72948,1_merged_979665,1,0,0,City Centre
958745,10127,b_51744,73472,1_merged_979668,0,0,0,Lakeview
959984,10152,b_51648,73582,2_merged_979670,0,0,0,University
953671,10079,a_51556,73220,2_merged_979667,1,0,0,Centre Mall
953754,10080,a_51383,73223,1_merged_979665,1,0,0,Centre Mall
952169,10051,a_51535,73087,3_merged_979666,0,0,0,Kenderdine
955836,10088,b_51562,73290,1_merged_979668,0,0,0,Dundonald
957825,10108,b_51734,73387,1_merged_979668,0,0,0,Lawson Heights
952107,10051,a_51518,73094,1_merged_979665,1,0,0,City Centre
967649,10086,b_51611,73265,1_merged_979668,1,0,0,City Centre
956565,10091,b_51660,73314,2_merged_979670,1,0,0,City Centre
949146,10012,a_51374,72912,2_merged_979667,1,0,0,Market Mall
955774,10087,b_51627,73281,3_merged_979669,1,0,0,Broadway
950417,10022,a_51436,72968,1_merged_979665,1,0,0,City Centre
955618,10087,b_51622,73275,2_merged_979670,0,0,0,Broadway
954497,10082,b_51560,73232,1_merged_979668,1,0,0,Exhibition
949320,10013,a_51312,72915,1_merged_979665,0,0,0,Dundonald
951353,10033,a_51489,73011,2_merged_979667,0,0,0,Lawson Heights
953786,10080,a_51396,73221,2_merged_979667,0,0,0,Rosewood
952133,10051,a_51524,73087,2_merged_979667,0,0,0,Kenderdine
959996,10152,b_51644,73582,2_merged_979670,0,0,0,University
955926,10088,b_51568,73290,3_merged_979669,0,0,0,Dundonald
948553,10010,a_51357,72866,3_merged_979666,0,0,0,Mayfair
967555,10086,b_51608,73256,1_merged_979668,0,0,0,Not In Service
960235,10154,b_51652,73594,3_merged_979669,1,0,0,Centre Mall
950697,10023,a_51439,72971,3_merged_979666,1,0,0,Valley Road
952562,10065,a_51498,73153,3_merged_979666,0,0,0,Lakeridge
951177,10028,a_51465,72993,1_merged_979665,1,0,0,City Centre
949855,10015,a_51339,72931,2_merged_979667,0,0,0,Riversdale
952804,10072,a_51514,73180,1_merged_979665,1,0,0,None
950903,10025,a_51452,72980,1_merged_979665,0,0,0,University via Boychuk
959610,10149,b_51803,73566,3_merged_979669,1,0,0,Hampton Village
948034,10007,a_51315,72856,2_merged_979667,1,0,0,Exhibition
967426,10011,a_51361,72886,1_merged_979665,0,0,0,Not In Service
956148,10089,b_51644,73293,2_merged_979670,0,0,0,Centre Mall
958698,10126,b_51783,73466,3_merged_979669,0,0,0,Kenderdine
949206,10012,a_51374,72909,2_merged_979667,1,0,0,Market Mall
954739,10083,b_51579,73233,3_merged_979669,0,0,0,Meadowgreen
958662,10126,b_51773,73470,2_merged_979670,1,0,0,City Centre
955456,10087,b_51618,73273,1_merged_979668,0,0,0,University
948410,10010,a_51344,72862,1_merged_979665,0,0,0,University
948187,10008,a_51326,72859,2_merged_979667,1,0,0,City Centre
954804,10084,b_51583,73235,1_merged_979668,0,0,0,Hudson Bay Park
948077,10008,a_51323,72858,1_merged_979665,0,0,0,Meadowgreen
951022,10025,a_51460,72982,3_merged_979666,1,0,0,College Park
950005,10016,a_51412,72937,2_merged_979667,0,0,0,Pleasant Hill
950984,10025,a_51455,72982,2_merged_979667,1,0,0,College Park
948288,10009,a_51335,72860,1_merged_979665,0,0,0,Hudson Bay Park
948764,10011,a_51365,72886,2_merged_979667,0,0,0,Not In Service
948285,10009,a_51333,72860,1_merged_979665,0,0,0,Hudson Bay Park
957337,10099,b_51697,73349,2_merged_979670,0,0,0,Stonebridge
950234,10020,a_51422,72948,2_merged_979667,1,0,0,City Centre
955868,10088,b_51560,73291,1_merged_979668,1,0,0,City Centre
948255,10008,a_51332,72859,3_merged_979666,1,0,0,City Centre
951171,10027,a_51427,72991,3_merged_979666,1,0,0,Centre Mall via Lorne
958999,10140,b_51699,73530,1_merged_979668,1,0,0,University
958536,10125,b_51775,73455,3_merged_979669,0,0,0,Evergreen
959410,10147,b_51802,73554,3_merged_979669,0,0,0,Confederation Terminal
958693,10126,b_51784,73466,3_merged_979669,0,0,0,Kenderdine
957771,10107,b_51732,73382,1_merged_979668,0,0,0,Silverspring
950753,10024,a_51441,72977,1_merged_979665,1,0,0,University
958707,10126,b_51783,73470,3_merged_979669,1,0,0,City Centre
957682,10102,b_51675,73363,3_merged_979669,1,0,0,Centre Mall via Lorne
954534,10082,b_51565,73232,2_merged_979670,1,0,0,Exhibition
955485,10087,b_51620,73285,1_merged_979668,1,0,0,Market Mall
958841,10127,b_51747,73472,3_merged_979669,0,0,0,Lakeview
948214,10008,a_51329,72858,3_merged_979666,0,0,0,Meadowgreen
959175,10146,b_51764,73548,1_merged_979668,1,0,0,Confederation
949593,10014,a_51394,72930,1_merged_979665,1,0,0,City Centre
967521,10011,a_51361,72892,1_merged_979665,1,0,0,City Centre
955704,10087,b_51624,73283,2_merged_979670,1,0,0,City Centre
960263,10155,b_51630,73597,1_merged_979668,0,0,0,Rosewood
949935,10016,a_51408,72937,1_merged_979665,0,0,0,Pleasant Hill
956185,10089,b_51646,73292,2_merged_979670,0,0,0,Centre Mall
967654,10086,b_51610,73265,1_merged_979668,1,0,0,City Centre
950623,10023,a_51365,72969,2_merged_979667,0,0,0,City Centre
955327,10086,b_51578,74410,3_merged_979669,0,0,0,Meadowgreen
950408,10022,a_51434,72963,1_merged_979665,0,0,0,North Industrial
953796,10080,a_51396,73221,2_merged_979667,0,0,0,Rosewood
949987,10016,a_51409,72939,1_merged_979665,1,0,0,Not In Service
957431,10100,b_51699,73354,1_merged_979668,0,0,0,University via Boychuk
958544,10125,b_51775,73455,3_merged_979669,0,0,0,Evergreen
950950,10025,a_51455,72980,2_merged_979667,0,0,0,University via Boychuk
959178,10146,b_51765,73548,1_merged_979668,1,0,0,Confederation
953216,10075,a_51532,73199,2_merged_979667,1,0,0,Kensington
949765,10014,a_51404,72930,3_merged_979666,1,0,0,City Centre
959448,10148,b_51764,73557,1_merged_979668,0,0,0,None
979474,10098,b_51656,73345,1_merged_979668,0,0,0,City Centre
960359,10155,b_51653,73597,3_merged_979669,0,0,0,Rosewood
949906,10015,a_51341,72931,3_merged_979666,0,0,0,Riversdale
958450,10125,b_51764,73459,1_merged_979668,1,0,0,City Centre
958692,10126,b_51784,73466,3_merged_979669,0,0,0,Kenderdine
954792,10084,b_51583,73235,1_merged_979668,0,0,0,Hudson Bay Park
