shape_id,shape_lat,shape_lon,point_seq,dist
73665,52.134111,-106.720925,549,11.3229
74013,52.120589,-106.741565,607,10.1589
73702,52.147662,-106.621688,229,2.8958
73999,52.136215,-106.598954,395,7.3925
74008,52.134360,-106.720847,345,7.5292
73932,52.120191,-106.741608,41,1.3291
73709,52.129301,-106.635964,796,12.5279
73680,52.114625,-106.661377,131,4.5736
74400,52.134647,-106.575788,397,7.5808
74014,52.130634,-106.637418,10,0.0585
73919,52.134350,-106.720815,109,2.2137
73751,52.133612,-106.721965,6,0.0390
73905,52.125999,-106.605311,214,7.0042
73930,52.133647,-106.721903,5,0.0334
73674,52.114779,-106.627804,320,5.8908
73704,52.119797,-106.655921,80,2.5672
74008,52.129254,-106.694082,257,4.8647
73707,52.150283,-106.615210,373,7.9156
73934,52.133548,-106.722292,306,5.1609
73704,52.131587,-106.638713,229,5.1576
73963,52.083344,-106.624390,58,1.4610
73698,52.163705,-106.628202,130,2.8425
73949,52.133539,-106.722268,150,0.2439
73952,52.130676,-106.637323,300,6.3015
73999,52.164749,-106.594085,244,3.6193
73877,52.142080,-106.658237,31,1.3369
74008,52.133548,-106.722292,477,7.6962
74010,52.166818,-106.687821,388,9.8573
73740,52.100217,-106.654624,324,5.2505
74397,52.165759,-106.575707,44,1.9169
73686,52.125779,-106.663394,174,4.6359
73678,52.118099,-106.669357,147,2.5357
73755,52.182144,-106.646456,177,6.5367
73969,52.106390,-106.561821,28,0.4011
73684,52.113109,-106.740768,238,4.1054
73958,52.121801,-106.609002,114,1.9042
74022,52.138566,-106.603985,269,3.3485
74400,52.133769,-106.563194,268,6.0233
73696,52.168128,-106.639071,405,9.7822
73999,52.128478,-106.600276,457,8.3000
74017,52.129303,-106.697669,262,5.1108
73730,52.130707,-106.587457,388,6.8020
73650,52.093392,-106.623578,126,2.5327
73609,52.126182,-106.692880,212,5.3046
74007,52.134228,-106.720717,141,2.2463
73730,52.114760,-106.598922,38,0.4257
73940,52.129265,-106.678917,64,1.2914
73936,52.108387,-106.739512,85,2.5504
73666,52.150760,-106.737617,184,3.1102
74416,52.133539,-106.722268,30,0.0656
74020,52.137444,-106.560486,501,11.4334
